hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,1,33,2017,July,3,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Transient,148.94,0,1
Resort Hotel,0,183,2016,June,0,6,2,0,0,Undefined,BRA,Direct,Direct,0,0,0,B,D,No Deposit,0,Transient,44.17,1,0
Resort Hotel,0,108,2016,June,3,8,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,C,B,No Deposit,0,Transient,206.16,0,0
City Hotel,0,286,2017,September,4,1,1,0,0,SC,GBR,Direct,TA/TO,0,0,0,C,F,No Deposit,0,Group,136.68,0,0
City Hotel,0,73,2017,April,4,8,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,C,No Deposit,0,Transient,53.29,0,0
Resort Hotel,1,22,2017,May,4,4,2,0,0,FB,IRL,Direct,GDS,0,0,0,E,D,No Deposit,0,Transient,68.63,1,0
City Hotel,1,31,2017,January,3,0,2,0,0,SC,ITA,Online TA,TA/TO,0,1,0,C,F,No Deposit,5,Contract,93.34,1,1
Resort Hotel,0,30,2015,April,1,4,2,0,0,BB,BEL,Online TA,TA/TO,0,0,1,B,A,No Deposit,0,Transient,40.3,0,0
Resort Hotel,0,31,2016,October,4,1,2,0,0,SC,IRL,Corporate,TA/TO,0,0,0,D,C,Non Refund,0,Transient,41.51,0,0
Resort Hotel,0,89,2016,June,4,7,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,No Deposit,0,Transient,100.94,0,1
City Hotel,0,60,2015,July,3,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,B,D,No Deposit,0,Transient,84.3,0,3
City Hotel,0,38,2016,November,1,8,2,0,0,SC,NLD,Direct,Direct,0,0,0,F,C,No Deposit,0,Transient,76.82,0,0
Resort Hotel,0,12,2015,February,4,4,2,2,0,BB,BRA,Direct,GDS,0,0,0,D,A,No Deposit,0,Transient,112.16,0,2
City Hotel,0,1,2016,October,0,2,1,0,0,BB,PRT,Offline TA/TO,Direct,0,0,3,B,C,No Deposit,0,Transient,48.27,0,1
City Hotel,1,19,2015,June,4,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,C,C,No Deposit,0,Transient-Party,97.92,0,0
Resort Hotel,0,9,2015,March,3,3,2,0,0,SC,GBR,Corporate,TA/TO,0,0,0,C,E,Non Refund,0,Transient-Party,95.0,0,0
City Hotel,1,123,2016,July,3,6,2,0,0,HB,DEU,Direct,Corporate,0,0,0,A,B,No Deposit,0,Transient,156.94,0,0
Resort Hotel,0,9,2016,September,0,2,3,0,0,BB,ITA,Direct,TA/TO,0,0,1,D,D,No Deposit,0,Transient,111.1,0,1
Resort Hotel,0,103,2016,November,1,8,1,0,0,BB,IRL,Online TA,Direct,0,0,0,C,F,No Deposit,0,Transient,78.2,0,1
City Hotel,0,38,2017,April,0,4,2,0,1,BB,NLD,Online TA,Direct,0,2,0,F,F,No Deposit,1,Transient,80.95,0,0
City Hotel,0,6,2016,August,4,5,2,0,0,BB,DEU,Corporate,TA/TO,0,0,0,C,B,No Deposit,0,Transient,119.9,0,0
City Hotel,0,134,2016,October,3,6,3,0,0,HB,BRA,Online TA,TA/TO,0,0,0,C,C,No Deposit,1,Transient,211.38,0,0
Resort Hotel,0,69,2016,June,1,4,1,0,0,FB,NLD,Online TA,TA/TO,0,0,1,C,A,No Deposit,2,Transient,93.2,0,1
Resort Hotel,0,21,2017,March,4,1,1,0,0,BB,BRA,Online TA,TA/TO,0,0,2,C,E,No Deposit,0,Transient,82.97,0,1
City Hotel,1,180,2016,March,0,2,2,0,0,BB,IRL,Corporate,TA/TO,0,0,0,E,F,No Deposit,0,Contract,104.51,0,0
City Hotel,0,3,2015,March,4,8,2,0,1,BB,ESP,Online TA,TA/TO,0,0,0,C,B,Non Refund,0,Transient,168.34,0,0
Resort Hotel,0,18,2015,April,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,2,0,F,F,No Deposit,0,Transient-Party,136.57,0,1
City Hotel,0,111,2017,February,2,1,2,0,0,FB,BRA,Corporate,TA/TO,0,2,0,E,B,No Deposit,0,Transient,107.79,0,0
Resort Hotel,0,98,2017,December,2,7,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,B,No Deposit,0,Transient,221.41,0,0
City Hotel,0,27,2017,December,3,7,1,0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,B,No Deposit,0,Transient,61.51,0,0
Resort Hotel,0,5,2017,May,1,6,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,No Deposit,0,Contract,44.23,0,0
City Hotel,1,156,2017,December,3,1,1,1,0,HB,BRA,Online TA,TA/TO,0,0,0,D,F,No Deposit,0,Transient,47.89,0,2
Resort Hotel,1,30,2016,August,4,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,2,C,C,No Deposit,1,Transient,55.36,0,0
City Hotel,0,17,2015,December,2,2,1,0,0,BB,FRA,Online TA,Corporate,0,0,1,B,B,No Deposit,0,Transient,89.24,0,1
City Hotel,1,58,2015,July,3,0,2,0,0,FB,BEL,Online TA,TA/TO,0,0,0,B,C,No Deposit,0,Transient,77.0,0,2
Resort Hotel,1,192,2016,September,0,4,2,0,0,BB,FRA,Corporate,TA/TO,0,1,0,B,C,No Deposit,10,Transient,34.86,0,3
City Hotel,0,3,2017,December,1,2,1,0,0,BB,DEU,Offline TA/TO,Corporate,0,1,2,D,E,No Deposit,0,Transient,72.78,0,0
City Hotel,0,116,2016,March,2,3,2,0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,E,C,No Deposit,0,Transient,76.84,0,1
City Hotel,0,67,2017,April,1,8,1,0,0,BB,DEU,Direct,Direct,0,0,0,F,E,No Deposit,0,Transient,157.66,0,1
City Hotel,0,44,2015,August,1,6,2,0,0,HB,ESP,Online TA,TA/TO,0,1,0,C,F,No Deposit,0,Transient,68.38,0,0
City Hotel,1,109,2015,October,2,6,2,0,0,SC,DEU,Direct,TA/TO,0,0,1,B,F,No Deposit,0,Transient,70.13,0,1
City Hotel,1,270,2017,November,0,2,1,0,0,FB,IRL,Online TA,TA/TO,0,0,0,B,E,No Deposit,0,Transient,88.94,0,1
Resort Hotel,0,20,2016,March,0,6,2,0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,F,A,No Deposit,0,Transient-Party,68.42,0,0
Resort Hotel,1,12,2017,January,0,8,2,0,0,BB,ESP,Online TA,Direct,0,0,0,F,D,No Deposit,0,Transient,119.59,0,0
Resort Hotel,1,195,2017,February,1,8,3,0,0,BB,NLD,Complementary,TA/TO,0,0,0,F,A,No Deposit,0,Transient,104.69,0,0
Resort Hotel,1,88,2015,October,0,0,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,Non Refund,0,Transient,218.19,0,0
Resort Hotel,0,46,2017,October,4,8,1,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,3,A,F,No Deposit,0,Transient,138.58,0,0
Resort Hotel,0,68,2016,August,4,2,1,0,0,BB,DEU,Online TA,GDS,0,0,0,D,B,No Deposit,0,Transient-Party,130.1,0,2
City Hotel,1,109,2017,December,0,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,B,F,Non Refund,0,Transient,108.84,0,1
Resort Hotel,1,118,2015,July,0,1,2,0,0,BB,ESP,Corporate,TA/TO,0,0,3,B,F,No Deposit,0,Transient,55.64,0,0
Resort Hotel,1,201,2016,April,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,1,0,0,B,B,No Deposit,0,Transient,59.77,0,1
City Hotel,1,44,2016,August,2,2,2,0,0,SC,FRA,Online TA,Direct,0,0,0,E,A,No Deposit,0,Transient,183.28,0,2
Resort Hotel,0,27,2015,March,3,5,2,0,0,BB,BRA,Direct,TA/TO,0,0,0,C,B,No Deposit,0,Transient,80.79,0,5
City Hotel,1,81,2015,January,1,0,1,0,0,BB,FRA,Corporate,TA/TO,0,0,0,C,D,No Deposit,0,Transient,71.16,0,1
Resort Hotel,0,42,2017,April,1,3,3,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,D,No Deposit,0,Transient,90.47,0,1
City Hotel,1,72,2015,June,2,0,2,0,0,BB,NLD,Groups,TA/TO,0,1,0,A,B,No Deposit,10,Transient,57.69,0,3
City Hotel,0,43,2015,June,4,0,2,0,0,HB,PRT,Online TA,Corporate,0,0,0,E,C,No Deposit,1,Transient-Party,160.53,0,0
Resort Hotel,0,13,2015,April,3,3,2,0,0,BB,NLD,Online TA,Direct,0,0,1,B,B,No Deposit,0,Transient,64.3,0,1
Resort Hotel,0,50,2015,August,2,4,1,0,0,BB,ESP,Online TA,TA/TO,0,1,2,C,A,No Deposit,0,Transient,54.36,0,0
City Hotel,0,93,2016,September,3,6,2,0,0,HB,NLD,Direct,TA/TO,0,0,0,B,A,No Deposit,0,Contract,333.08,0,0
City Hotel,1,128,2016,February,1,7,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,B,A,No Deposit,0,Transient,84.53,0,2
City Hotel,1,54,2016,March,1,2,1,0,0,BB,NLD,Groups,TA/TO,0,1,2,A,D,No Deposit,5,Transient,90.14,0,1
City Hotel,0,14,2015,December,1,2,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,1,D,E,No Deposit,0,Transient,113.89,0,5
Resort Hotel,0,42,2017,August,4,3,2,0,0,BB,GBR,Offline TA/TO,Direct,0,2,0,F,A,No Deposit,0,Transient,112.9,0,0
Resort Hotel,0,123,2017,January,2,5,1,0,0,HB,ITA,Groups,TA/TO,0,0,0,C,B,No Deposit,0,Transient,160.28,0,0
Resort Hotel,0,42,2017,January,3,1,3,0,0,BB,DEU,Online TA,GDS,0,0,0,D,F,Refundable,0,Transient,121.08,0,2
City Hotel,0,95,2017,July,2,5,3,2,0,HB,FRA,Online TA,Corporate,0,0,0,F,A,No Deposit,0,Transient,79.37,0,0
City Hotel,1,56,2016,October,1,5,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,2,0,C,C,No Deposit,0,Transient-Party,121.08,0,0
Resort Hotel,0,22,2017,July,1,1,1,0,0,BB,DEU,Online TA,TA/TO,0,0,1,A,A,No Deposit,0,Transient,130.08,0,0
Resort Hotel,0,127,2016,July,2,4,2,0,0,BB,GBR,Online TA,Corporate,1,0,0,D,C,No Deposit,0,Contract,104.17,0,1
Resort Hotel,0,7,2017,May,0,6,2,0,0,SC,NLD,Online TA,TA/TO,1,0,0,A,C,No Deposit,2,Transient-Party,25.33,0,2
Resort Hotel,1,59,2017,December,0,8,1,0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,No Deposit,0,Transient,67.61,0,0
City Hotel,0,18,2016,July,2,2,2,0,0,HB,DEU,Corporate,TA/TO,0,0,0,C,F,No Deposit,0,Contract,74.68,0,2
City Hotel,0,5,2016,September,1,6,1,0,0,BB,BEL,Groups,TA/TO,0,0,0,D,E,No Deposit,0,Transient,41.63,0,1
City Hotel,0,55,2017,June,3,2,2,0,0,FB,ESP,Online TA,Direct,0,0,0,D,A,Refundable,0,Transient,146.89,1,0
City Hotel,1,55,2015,June,0,1,2,0,0,BB,ITA,Offline TA/TO,Direct,0,0,0,E,D,No Deposit,0,Transient,33.39,0,0
Resort Hotel,1,98,2017,March,2,3,2,0,0,Undefined,ITA,Offline TA/TO,TA/TO,0,0,0,D,F,No Deposit,0,Transient,106.96,0,0
City Hotel,1,109,2017,July,4,7,2,0,0,Undefined,NLD,Offline TA/TO,Direct,0,0,0,F,C,No Deposit,0,Transient,49.66,0,0
City Hotel,1,104,2017,June,2,4,1,1,0,BB,FRA,Online TA,TA/TO,0,0,1,C,F,No Deposit,0,Transient-Party,93.97,0,0
City Hotel,0,42,2016,December,1,7,2,0,0,Undefined,ITA,Offline TA/TO,TA/TO,0,0,0,D,F,Non Refund,0,Contract,293.11,2,1
City Hotel,0,79,2017,May,2,5,2,0,0,BB,BEL,Complementary,TA/TO,0,0,0,A,E,No Deposit,0,Transient,94.05,0,2
City Hotel,0,68,2015,March,0,0,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient,88.04,0,0
City Hotel,0,43,2017,March,0,2,2,0,0,BB,BEL,Offline TA/TO,TA/TO,1,2,0,D,C,Non Refund,0,Transient,117.17,0,0
City Hotel,0,72,2015,June,2,7,1,0,0,SC,DEU,Direct,TA/TO,0,0,0,A,C,No Deposit,0,Transient,131.68,0,2
Resort Hotel,1,235,2015,June,3,3,2,0,0,HB,BEL,Groups,TA/TO,0,0,0,B,C,Non Refund,0,Transient,86.18,0,0
Resort Hotel,0,17,2015,May,2,1,2,0,0,HB,BRA,Online TA,TA/TO,0,0,1,B,B,No Deposit,0,Transient,127.0,0,0
Resort Hotel,0,188,2017,March,3,7,2,0,0,BB,BRA,Online TA,Direct,0,0,0,D,D,No Deposit,0,Transient,174.74,0,0
City Hotel,0,4,2016,December,0,4,2,0,0,HB,PRT,Direct,Direct,0,0,2,D,F,Non Refund,0,Transient,54.54,0,0
Resort Hotel,0,29,2016,February,4,0,2,0,0,BB,BEL,Online TA,TA/TO,0,0,1,B,C,No Deposit,0,Transient,77.03,0,1
City Hotel,1,27,2017,April,3,7,1,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,C,Non Refund,0,Transient,245.09,0,2
City Hotel,0,78,2017,April,2,8,2,0,0,BB,IRL,Groups,TA/TO,0,0,0,B,C,No Deposit,0,Transient,78.83,0,5
Resort Hotel,0,11,2015,October,1,7,2,0,0,HB,FRA,Direct,GDS,0,0,0,D,C,Non Refund,0,Transient,54.78,0,2
City Hotel,0,171,2017,February,1,0,2,0,0,HB,GBR,Direct,TA/TO,0,0,0,D,A,No Deposit,0,Transient,176.01,0,2
City Hotel,0,141,2016,December,2,5,2,0,0,BB,DEU,Offline TA/TO,Direct,0,0,0,D,B,No Deposit,0,Transient,368.13,0,0
Resort Hotel,0,84,2017,September,0,5,1,2,0,Undefined,GBR,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient,78.01,0,0
Resort Hotel,0,49,2017,November,0,6,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,F,No Deposit,0,Transient,38.2,0,0
Resort Hotel,1,216,2017,November,0,0,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,B,E,No Deposit,0,Transient,31.11,0,1
Resort Hotel,1,142,2015,March,2,7,2,0,0,SC,NLD,Online TA,TA/TO,0,0,2,A,E,No Deposit,0,Transient,111.34,1,1
City Hotel,0,55,2017,January,1,3,3,0,0,BB,ESP,Direct,TA/TO,0,0,3,C,B,No Deposit,0,Transient,155.75,0,2
City Hotel,0,96,2017,December,4,3,3,0,0,BB,ESP,Online TA,TA/TO,0,0,1,B,E,No Deposit,0,Group,58.09,0,2
City Hotel,0,66,2017,May,1,3,2,0,0,BB,PRT,Online TA,GDS,0,0,0,B,B,No Deposit,0,Transient,93.45,0,0
City Hotel,1,70,2016,October,0,5,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,46.21,0,3
City Hotel,0,32,2015,March,2,5,3,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,E,No Deposit,0,Transient,142.11,0,0
Resort Hotel,0,49,2015,June,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,C,No Deposit,0,Transient,125.65,0,1
City Hotel,0,6,2016,January,4,1,1,0,0,SC,BEL,Offline TA/TO,Direct,0,0,0,B,F,No Deposit,0,Transient,151.85,0,0
City Hotel,0,35,2015,October,1,4,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,E,Non Refund,0,Transient,72.06,1,2
City Hotel,1,95,2016,April,0,1,1,0,0,BB,FRA,Online TA,Direct,0,0,0,E,D,No Deposit,0,Transient,94.06,0,0
City Hotel,0,244,2015,January,4,5,3,2,0,BB,GBR,Corporate,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,39.09,1,0
Resort Hotel,1,263,2015,January,0,6,1,0,0,Undefined,IRL,Online TA,TA/TO,0,0,0,C,D,No Deposit,0,Transient,104.64,0,1
Resort Hotel,0,64,2015,October,1,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,B,C,No Deposit,0,Transient,113.02,0,0
Resort Hotel,1,74,2017,August,4,2,2,0,0,BB,ITA,Offline TA/TO,Direct,0,0,3,C,F,No Deposit,0,Transient,268.96,0,1
City Hotel,0,16,2015,October,0,4,2,0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,1,D,C,No Deposit,0,Transient,72.59,0,3
City Hotel,0,95,2017,November,3,8,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,B,D,No Deposit,0,Contract,127.51,0,0
City Hotel,0,5,2017,April,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,B,E,No Deposit,1,Transient,178.95,0,1
Resort Hotel,0,26,2017,October,1,2,1,0,0,HB,FRA,Direct,TA/TO,0,0,0,A,D,No Deposit,0,Transient-Party,94.69,0,0
City Hotel,1,88,2016,March,2,8,1,0,0,BB,BRA,Online TA,Direct,0,0,0,E,F,No Deposit,0,Transient,98.57,0,0
City Hotel,0,29,2015,June,0,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Transient,93.41,0,0
Resort Hotel,0,4,2015,November,4,0,2,0,0,BB,GBR,Direct,TA/TO,0,0,0,C,E,No Deposit,0,Transient,189.94,0,0
Resort Hotel,0,142,2015,October,0,2,2,0,0,HB,BRA,Offline TA/TO,TA/TO,0,0,0,C,B,No Deposit,0,Transient,65.93,0,0
Resort Hotel,0,29,2017,September,3,2,2,0,0,SC,FRA,Corporate,Direct,0,0,0,E,A,No Deposit,0,Transient,58.86,0,0
City Hotel,1,5,2015,June,3,1,1,0,0,BB,ITA,Groups,GDS,0,0,1,C,C,No Deposit,0,Transient-Party,107.38,0,2
Resort Hotel,0,6,2017,January,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,No Deposit,5,Transient,87.62,2,0
City Hotel,0,23,2017,August,2,8,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,No Deposit,0,Transient,44.15,0,0
City Hotel,0,15,2017,January,0,2,2,0,0,Undefined,PRT,Online TA,Direct,0,0,0,E,C,No Deposit,0,Transient,102.67,0,1
Resort Hotel,1,119,2017,March,3,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,F,C,No Deposit,5,Transient,75.33,0,0
City Hotel,0,31,2015,September,4,5,2,0,1,SC,PRT,Direct,TA/TO,0,0,0,E,F,No Deposit,0,Transient,100.85,0,2
City Hotel,0,130,2017,April,0,8,2,0,0,HB,BRA,Offline TA/TO,TA/TO,0,0,0,C,D,No Deposit,0,Contract,83.41,0,5
Resort Hotel,0,15,2016,August,1,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,101.68,0,2
City Hotel,0,54,2016,September,4,2,2,0,0,SC,DEU,Groups,TA/TO,0,0,2,E,A,No Deposit,0,Transient,78.17,0,0
Resort Hotel,0,93,2016,August,2,2,1,0,0,FB,IRL,Offline TA/TO,TA/TO,0,0,0,B,E,No Deposit,0,Transient,101.75,0,0
Resort Hotel,0,84,2017,June,1,5,2,2,0,BB,GBR,Offline TA/TO,TA/TO,0,2,0,F,A,No Deposit,0,Transient,155.35,0,2
Resort Hotel,1,73,2015,September,2,8,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,No Deposit,0,Contract,132.23,0,2
City Hotel,1,207,2015,November,2,8,1,0,0,SC,BRA,Groups,TA/TO,0,0,0,C,D,No Deposit,2,Transient,121.22,0,1
City Hotel,0,20,2017,June,3,4,2,1,0,SC,ESP,Direct,Corporate,0,0,0,E,E,No Deposit,0,Transient,114.38,0,2
Resort Hotel,0,54,2017,May,2,8,2,0,0,BB,ESP,Direct,TA/TO,0,0,0,E,B,No Deposit,0,Transient,211.15,0,0
Resort Hotel,1,172,2017,August,4,5,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,F,No Deposit,0,Transient,77.71,0,0
City Hotel,0,6,2016,April,4,4,1,0,0,HB,PRT,Corporate,TA/TO,0,0,1,B,F,No Deposit,0,Transient,103.93,0,0
Resort Hotel,1,4,2017,March,4,7,2,1,0,BB,NLD,Online TA,Corporate,0,0,2,D,E,Non Refund,0,Transient-Party,56.54,0,0
Resort Hotel,0,21,2017,April,0,6,2,0,0,SC,ESP,Corporate,Direct,1,0,0,F,D,No Deposit,0,Transient,145.2,0,0
City Hotel,0,80,2015,December,3,6,2,0,0,SC,BEL,Corporate,TA/TO,0,0,0,C,C,No Deposit,0,Transient-Party,131.64,0,0
City Hotel,0,24,2015,September,3,3,2,0,0,BB,ESP,Corporate,GDS,0,0,0,C,A,No Deposit,0,Transient,132.04,0,1
Resort Hotel,0,16,2016,April,4,0,2,0,0,Undefined,PRT,Online TA,TA/TO,0,0,2,D,D,No Deposit,0,Transient,33.77,0,0
City Hotel,0,49,2016,July,0,4,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Transient,97.71,1,1
City Hotel,0,76,2016,January,2,8,1,0,0,BB,GBR,Corporate,TA/TO,0,0,0,E,A,No Deposit,0,Transient-Party,108.3,0,0
Resort Hotel,0,22,2016,December,2,7,2,0,0,BB,DEU,Direct,GDS,0,0,0,F,C,No Deposit,0,Transient,60.57,0,2
City Hotel,1,28,2017,June,2,3,1,0,0,HB,ESP,Online TA,Corporate,0,0,0,D,E,Non Refund,0,Transient-Party,50.61,1,1
Resort Hotel,0,76,2017,August,3,8,2,0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,A,D,Non Refund,0,Transient,94.01,0,1
City Hotel,1,233,2016,July,2,5,1,0,0,BB,NLD,Direct,TA/TO,0,0,0,F,E,No Deposit,0,Transient,55.23,0,0
City Hotel,0,89,2016,May,0,6,2,0,0,Undefined,BRA,Online TA,TA/TO,0,0,0,F,B,No Deposit,0,Transient,58.51,0,1
City Hotel,1,122,2015,April,0,7,1,0,0,BB,PRT,Corporate,TA/TO,0,0,2,C,D,No Deposit,0,Transient-Party,204.71,0,3
Resort Hotel,0,36,2015,February,2,0,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,1,B,B,No Deposit,0,Transient,127.33,0,0
City Hotel,1,25,2015,January,3,3,1,0,0,BB,BEL,Online TA,TA/TO,0,0,2,B,D,No Deposit,0,Contract,124.94,2,1
Resort Hotel,0,48,2016,January,1,5,3,0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,F,B,No Deposit,0,Transient,74.34,0,0
Resort Hotel,0,131,2015,May,4,3,1,2,0,HB,FRA,Online TA,Direct,0,0,0,F,C,No Deposit,0,Transient-Party,105.4,1,4
Resort Hotel,0,48,2016,September,2,2,2,0,0,BB,DEU,Online TA,Direct,0,0,0,A,B,No Deposit,0,Transient,57.7,1,0
City Hotel,1,150,2017,July,2,4,2,0,0,Undefined,GBR,Online TA,Corporate,0,0,2,D,D,Refundable,0,Transient,147.45,0,0
City Hotel,1,359,2016,February,4,3,2,0,0,BB,BRA,Offline TA/TO,Direct,0,0,1,F,B,No Deposit,5,Transient-Party,80.17,0,1
Resort Hotel,0,5,2017,June,1,4,3,0,0,FB,ESP,Online TA,Direct,0,0,0,E,D,No Deposit,0,Transient,87.16,0,0
City Hotel,0,3,2017,October,2,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,E,No Deposit,0,Transient,69.66,0,0
Resort Hotel,0,12,2016,July,2,2,3,0,0,SC,FRA,Online TA,TA/TO,0,0,0,D,F,No Deposit,0,Transient,115.98,1,1
City Hotel,1,38,2015,August,1,7,3,0,0,HB,DEU,Corporate,TA/TO,0,0,0,D,F,No Deposit,0,Transient,120.6,0,0
Resort Hotel,1,11,2016,November,4,7,2,0,0,SC,BRA,Groups,Corporate,0,0,0,E,D,No Deposit,0,Transient,73.83,2,1
City Hotel,0,163,2015,September,0,7,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,No Deposit,0,Group,158.87,0,1
Resort Hotel,0,1,2017,March,2,2,2,0,0,Undefined,FRA,Online TA,Direct,0,0,0,B,D,Refundable,0,Transient,73.11,0,2
City Hotel,0,30,2017,December,2,0,2,2,0,Undefined,ITA,Groups,Direct,0,0,1,A,D,No Deposit,0,Transient,51.62,0,0
Resort Hotel,0,16,2017,February,3,1,2,2,0,BB,BRA,Direct,TA/TO,0,0,0,F,D,No Deposit,0,Transient,136.5,0,1
Resort Hotel,1,214,2017,July,1,2,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,E,C,No Deposit,0,Transient,63.6,0,0
Resort Hotel,0,88,2016,August,2,1,2,0,0,BB,ESP,Direct,TA/TO,1,0,0,D,E,No Deposit,0,Transient,56.78,0,2
City Hotel,1,194,2017,September,3,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,B,No Deposit,0,Transient-Party,98.09,0,0
